Election_Year,Nominee,Birth_Year,Age,Party_Affiliation,Elected
1789,Washington,1732,57,NA,Yes
1789,Adams,1735,54,NA,No
1792,Washington,1732,60,NA,Yes
1792,Adams,1735,57,NA,No
1796,Adams,1735,61,Federalist,Yes
1796,Jefferson,1743,53,Democratic-Republican,No
1800,Jefferson,1743,57,Democratic-Republican,Yes
1800,Burr,1756,44,Democratic-Republican,No
1804,Jefferson,1743,61,Democratic-Republican,Yes
1804,Pinckney,1746,58,Federalist,No
1808,Madison,1751,57,Democratic-Republican,Yes
1808,Pinckney,1746,62,Federalist,No
1812,Madison,1751,61,Democratic-Republican,Yes
1812,Clinton,1769,43,Federalist,No
1816,Monroe,1758,58,Democratic-Republican,Yes
1816,King,1755,61,Federalist,No
1820,Monroe,1758,62,Democratic-Republican,Yes
1824,Jackson,1767,57,Democratic-Republican,No
1824,Adams,1767,57,Democratic-Republican,Yes
1828,Jackson,1767,61,Democratic,Yes
1828,Adams,1767,61,National_Republican,No
1832,Jackson,1767,65,Democratic,Yes
1832,Clay,1777,55,National_Republican,No
1836,Buren,1782,54,Democratic,Yes
1836,Harrison,1773,63,Whig,No
1840,Buren,1782,58,Democratic,No
1840,Harrison,1773,67,Whig,Yes
1844,Polk,1795,49,Democratic,Yes
1844,Clay,1777,67,Whig,No
1848,Cass,1782,66,Democratic,No
1848,Taylor,1784,64,Whig,Yes
1852,Pierce,1804,48,Democratic,Yes
1852,Scott,1786,66,Whig,No
1856,Buchanan,1791,65,Democratic,Yes
1856,Fremont,1813,43,Republican,No
1860,Douglas,1813,47,Democratic,No
1860,Lincoln,1809,51,Republican,Yes
1864,McClellan,1826,38,Democratic,No
1864,Lincoln,1809,55,Republican,Yes
1868,Seymour,1810,58,Democratic,No
1868,Grant,1822,46,Republican,Yes
1872,Greeley,1811,61,Democratic,No
1872,Grant,1822,50,Republican,Yes
1876,Tilden,1814,62,Democratic,No
1876,Hayes,1822,54,Republican,Yes
1880,Hancock,1824,56,Democratic,No
1880,Garfield,1831,49,Republican,Yes
1884,Cleveland,1837,47,Democratic,Yes
1884,Blaine,1830,54,Republican,No
1888,Cleveland,1837,51,Democratic,No
1888,Harrison,1833,55,Republican,Yes
1892,Cleveland,1837,55,Democratic,Yes
1892,Harrison,1833,59,Republican,No
1896,Bryan,1860,36,Democratic,No
1896,McKinley,1843,53,Republican,Yes
1900,Bryan,1860,40,Democratic,No
1900,McKinley,1843,57,Republican,Yes
1904,Parker,1852,52,Democratic,No
1904,Roosevelt,1858,46,Republican,Yes
1908,Bryan,1860,48,Democratic,No
1908,Taft,1857,51,Republican,Yes
1912,Wilson,1856,56,Democratic,Yes
1912,Taft,1857,55,Republican,No
1916,Wilson,1856,60,Democratic,Yes
1916,Hughes,1862,54,Republican,No
1920,Cox,1870,50,Democratic,No
1920,Harding,1865,55,Republican,Yes
1924,Davis,1873,51,Democratic,No
1924,Coolidge,1872,52,Republican,Yes
1928,Smith,1873,55,Democratic,No
1928,Hoover,1874,54,Republican,Yes
1932,Roosevelt,1882,50,Democratic,Yes
1932,Hoover,1874,58,Republican,No
1936,Roosevelt,1882,54,Democratic,Yes
1936,Landon,1887,49,Republican,No
1940,Roosevelt,1882,58,Democratic,Yes
1940,Willkie,1892,48,Republican,No
1944,Roosevelt,1882,62,Democratic,Yes
1944,Dewey,1902,42,Republican,No
1948,Truman,1884,64,Democratic,Yes
1948,Dewey,1902,46,Republican,No
1952,Stevenson,1900,52,Democratic,No
1952,Eisenhower,1890,62,Republican,Yes
1956,Stevenson,1900,56,Democratic,No
1956,Eisenhower,1890,66,Republican,Yes
1960,Kennedy,1917,43,Democratic,Yes
1960,Nixon,1913,47,Republican,No
1964,Johnson,1908,56,Democratic,Yes
1964,Goldwater,1909,55,Republican,No
1968,Humphrey,1911,57,Democratic,No
1968,Nixon,1913,55,Republican,Yes
1972,McGovern,1922,50,Democratic,No
1972,Nixon,1913,59,Republican,Yes
1976,Carter,1924,52,Democratic,Yes
1976,Ford,1913,63,Republican,No
1980,Carter,1924,56,Democratic,No
1980,Reagan,1911,69,Republican,Yes
1984,Mondale,1928,56,Democratic,No
1984,Reagan,1911,73,Republican,Yes
1988,Dukakis,1933,55,Democratic,No
1988,Bush,1924,64,Republican,Yes
1992,Clinton,1946,46,Democratic,Yes
1992,Bush,1924,68,Republican,No
1996,Clinton,1946,50,Democratic,Yes
1996,Dole,1923,73,Republican,No
2000,Gore,1948,52,Democratic,No
2000,Bush,1946,54,Republican,Yes
2004,Kerry,1943,61,Democratic,No
2004,Bush,1946,58,Republican,Yes
2008,Obama,1961,47,Democratic,Yes
2008,McCain,1936,72,Republican,No
2012,Obama,1961,51,Democratic,Yes
2012,Romney,1947,65,Republican,No
2016,Clinton,1947,69,Democratic,No
2016,Trump,1946,70,Republican,Yes
2020,Biden,1942,78,Democratic,Yes
2020,Trump,1946,74,Republican,No
2024,Biden,1942,82,Democratic,NA
2024,Trump,1946,78,Republican,NA
